                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6933,                0.67078,                 1.1458,                0.04819,                      1,                0.06902,                0.04892,                0.98466,                 101.83,                 2.4581,             0.00091549,             0.00091549,             0.00091549
                     36,                0.66083,                0.61825,                  1.126,                0.01363,                      1,                0.03138,                0.01797,                 1.2813,                 591.72,                 2.7363,             0.00092797,             0.00092797,             0.00092797
                     37,                0.63168,                0.69639,                 1.0536,                0.01363,                      1,                0.03138,                0.01797,                 1.2813,                 591.72,                 2.7363,             0.00093966,             0.00093966,             0.00093966
                     38,                0.63513,                 0.6808,                 1.1396,                    0.2,                    0.5,                0.20585,                0.11737,                 1.5711,                 28.626,                 3.0635,             0.00095055,             0.00095055,             0.00095055
                     39,                0.63209,                0.63289,                 1.0581,                0.03569,                  0.375,                 0.0192,                0.00887,                 2.6036,                 24.896,                  4.568,             0.00096065,             0.00096065,             0.00096065
                     40,                0.67728,                  0.705,                 1.1158,                0.03569,                  0.375,                 0.0192,                0.00887,                 2.6036,                 24.896,                  4.568,             0.00096996,             0.00096996,             0.00096996
                     41,                0.62682,                0.69081,                 1.0804,                 0.0056,                  0.375,                0.00721,                0.00226,                  2.982,                 16.743,                 6.5023,             0.00097848,             0.00097848,             0.00097848
                     42,                0.82976,                0.73859,                 1.1813,                0.02423,                   0.25,                0.00997,                0.00248,                 3.3135,                 91.275,                   4.86,             0.00098621,             0.00098621,             0.00098621
                     43,                0.79472,                0.64496,                 1.2204,                0.02423,                   0.25,                0.00997,                0.00248,                 3.3135,                 91.275,                   4.86,             0.00099314,             0.00099314,             0.00099314
                     44,                0.86878,                0.74548,                 1.3559,                0.07232,                  0.375,                0.03947,                0.01663,                 2.3053,                   29.3,                 3.8721,             0.00099928,             0.00099928,             0.00099928
                     45,                0.66921,                  0.692,                  1.149,                0.07232,                  0.375,                0.03947,                0.01663,                 2.3053,                   29.3,                 3.8721,              0.0010046,              0.0010046,              0.0010046
                     46,                0.66748,                0.60832,                 1.0821,                0.14237,                  0.625,                0.12726,                0.04111,                 2.3303,                 8.2228,                 3.5572,              0.0010092,              0.0010092,              0.0010092
                     47,                0.73166,                0.69898,                 1.1227,                0.14237,                  0.625,                0.12726,                0.04111,                 2.3303,                 8.2228,                 3.5572,               0.001013,               0.001013,               0.001013
                     48,                0.89219,                0.78455,                 1.3712,                0.27353,                    0.5,                0.18444,                0.04848,                 3.0525,                 6.2339,                 4.3653,              0.0010159,              0.0010159,              0.0010159
                     49,                 0.5762,                0.56628,                 1.0134,                0.27353,                    0.5,                0.18444,                0.04848,                 3.0525,                 6.2339,                 4.3653,              0.0010181,              0.0010181,              0.0010181
                     50,                0.65035,                0.61069,                 1.0782,                0.11335,                    0.5,                0.09333,                0.02367,                 2.8534,                 6.6175,                 3.8629,              0.0010195,              0.0010195,              0.0010195
                     51,                0.67431,                0.64482,                  1.085,                0.11335,                    0.5,                0.09333,                0.02367,                 2.8534,                 6.6175,                 3.8629,                0.00101,                0.00101,                0.00101
                     52,                0.64904,                0.68293,                 1.0726,                0.24458,                  0.375,                0.14736,                0.08543,                 2.2813,                 5.6607,                 3.2519,              0.0009902,              0.0009902,              0.0009902
                     53,                0.64194,                0.70641,                 1.0801,                0.24458,                  0.375,                0.14736,                0.08543,                 2.2813,                 5.6607,                 3.2519,              0.0009704,              0.0009704,              0.0009704
                     54,                0.64261,                0.63173,                 1.1629,                0.15101,                  0.375,                   0.17,                0.05061,                  2.403,                 8.4481,                 2.9813,              0.0009506,              0.0009506,              0.0009506
                     55,                0.56229,                0.59814,                 1.0382,                0.15101,                  0.375,                   0.17,                0.05061,                  2.403,                 8.4481,                 2.9813,              0.0009308,              0.0009308,              0.0009308
                     56,                0.66581,                0.70514,                 1.0903,                0.77404,                  0.625,                0.69368,                0.25804,                 2.0216,                 3.8918,                 2.8638,               0.000911,               0.000911,               0.000911
                     57,                0.57941,                0.53495,                 1.0708,                0.77404,                  0.625,                0.69368,                0.25804,                 2.0216,                 3.8918,                 2.8638,              0.0008912,              0.0008912,              0.0008912
                     58,                0.55923,                0.60962,                 1.0719,                0.75445,                  0.625,                0.75293,                0.56159,                 1.1435,                  2.075,                 1.7619,              0.0008714,              0.0008714,              0.0008714
                     59,                0.66443,                0.60633,                 1.1079,                0.75445,                  0.625,                0.75293,                0.56159,                 1.1435,                  2.075,                 1.7619,              0.0008516,              0.0008516,              0.0008516
                     60,                0.56984,                0.53046,                 1.0443,                 0.9403,                  0.875,                  0.891,                0.61526,                 1.2076,                 2.1844,                 2.1324,              0.0008318,              0.0008318,              0.0008318
                     61,                0.53562,                0.51088,                 1.0682,                 0.9403,                  0.875,                  0.891,                0.61526,                 1.2076,                 2.1844,                 2.1324,               0.000812,               0.000812,               0.000812
                     62,                0.55721,                0.54208,                  0.998,                0.82931,                  0.875,                0.87605,                0.59085,                 1.1822,                 2.6012,                 2.0411,              0.0007922,              0.0007922,              0.0007922
